Date,Open,High,Low,Close,Volume
2020-04-15,2100,2100,1920,1930,18731300
2020-04-16,1930,1965,1810,1835,11839300
2020-04-17,1860,1895,1835,1880,19060700
2020-04-20,1880,1915,1830,1865,20178400
2020-04-21,1865,1865,1760,1775,18528900
2020-04-22,1775,2070,1695,2070,37717400
2020-04-23,2100,2250,2050,2140,33228000
2020-04-24,2200,2200,1995,2030,18824800
2020-04-27,2030,2080,1995,2050,10860100
2020-04-28,2050,2370,2050,2270,29169400
2020-04-29,2300,2330,2170,2240,21433100
2020-04-30,2250,2410,2250,2400,35483400
2020-05-04,2350,2350,2240,2280,19949400
2020-05-05,2300,2400,2300,2340,16129400
2020-05-06,2400,2460,2340,2450,24993500
2020-05-08,2500,2520,2330,2480,24175400
2020-05-11,2480,2600,2480,2520,18659300
2020-05-12,2530,2590,2410,2460,17309800
2020-05-13,2430,2430,2310,2380,12078600
2020-05-14,2380,2430,2230,2250,13242700
2020-05-15,2270,2320,2130,2240,3261300
2020-05-18,2300,2300,2170,2240,13179800
2020-05-19,2250,2380,2250,2280,13706600
2020-05-20,2350,2350,2160,2210,15253800
2020-05-26,2240,2390,2210,2380,17870400
2020-05-27,2430,2450,2380,2420,16499300
2020-05-28,2450,2490,2390,2470,12938800
2020-05-29,2470,2470,2350,2350,14923300
2020-06-02,2330,2460,2330,2440,20468000
2020-06-03,2440,2520,2440,2450,14111500
2020-06-04,2500,2530,2390,2430,12591400
2020-06-05,2450,2470,2410,2450,15211700
2020-06-08,2490,2670,2470,2640,36015600
2020-06-09,2700,2700,2510,2520,21363100
2020-06-10,2520,2520,2350,2350,25251300
2020-06-11,2350,2350,2200,2310,18203400
2020-06-12,2240,2410,2160,2410,18684800
2020-06-15,2410,2460,2320,2360,12394200
2020-06-16,2380,2580,2380,2580,16201600
2020-06-17,2600,2600,2520,2570,29819700
2020-06-18,2560,2570,2480,2540,24009800
2020-06-19,2600,2670,2560,2590,35103100
2020-06-22,2590,2600,2520,2530,18479400
2020-06-23,2540,2570,2490,2510,17593800
2020-06-24,2530,2630,2500,2600,26223700
2020-06-25,2600,2600,2500,2500,12722300
2020-06-26,2540,2570,2490,2530,13967500
2020-06-29,2530,2540,2480,2490,14715100
2020-06-30,2540,2570,2500,2540,13282700
2020-07-01,2550,2550,2450,2480,10960200
2020-07-02,2480,2510,2450,2480,12067100
2020-07-03,2480,2510,2470,2490,14219500
2020-07-06,2440,2510,2440,2500,14579800
2020-07-07,2510,2570,2450,2490,15605600
2020-07-08,2490,2520,2480,2490,12530100
2020-07-09,2500,2530,2450,2480,13228600
2020-07-10,2490,2520,2400,2420,18537500
2020-07-13,2430,2470,2400,2460,14139200
2020-07-14,2460,2490,2420,2450,11643400
2020-07-15,2470,2510,2470,2480,13940900
2020-07-16,2480,2500,2460,2480,11472700
2020-07-17,2500,2500,2440,2480,10884100
2020-07-20,2480,2490,2430,2460,10061300
2020-07-21,2470,2500,2470,2490,9905100
2020-07-22,2500,2730,2500,2700,49695900
2020-07-23,2720,2740,2650,2720,27719700
2020-07-24,2730,2730,2610,2640,14638900
2020-07-27,2680,2890,2660,2850,43813300
2020-07-28,2870,2890,2810,2820,27726200
2020-07-29,2800,2890,2800,2850,18767800
2020-07-30,2900,2930,2850,2880,32917500
2020-08-03,2890,2900,2720,2780,15945100
2020-08-04,2800,2830,2740,2800,14891100
2020-08-05,2800,2810,2710,2770,32024800
2020-08-06,2800,2830,2770,2780,24529700
2020-08-07,2780,2830,2750,2770,13688000
2020-08-10,2770,2790,2740,2780,14084900
2020-08-11,2800,2960,2790,2870,46139800
2020-08-12,2880,2900,2820,2860,19839100
2020-08-13,2900,2960,2810,2840,14778400
2020-08-14,2840,2860,2810,2810,13112800
2020-08-18,2810,2840,2810,2840,11375100
2020-08-19,2840,2860,2800,2830,11024300
2020-08-24,2830,2950,2810,2930,26569800
2020-08-25,2950,3070,2940,3060,36880800
2020-08-26,3050,3110,3010,3030,22639100
2020-08-27,3030,3040,2930,2950,18912100
2020-08-28,2920,2970,2860,2870,26656200
2020-08-31,2900,2920,2860,2900,15111300
2020-09-01,2900,3010,2890,2950,32515800
2020-09-02,2970,2980,2930,2960,16424800
2020-09-03,2960,2960,2820,2860,24143800
2020-09-04,2820,2920,2750,2850,32359000
2020-09-07,2820,2880,2780,2850,21967900
2020-09-08,2850,2860,2810,2850,13882800
2020-09-09,2800,2850,2780,2830,17651300
2020-09-10,2790,2790,2640,2640,14307000
2020-09-11,2470,2790,2470,2750,16700000
2020-09-14,2770,2850,2770,2840,14216300
2020-09-15,2850,2860,2720,2740,13751700
2020-09-16,2750,2790,2740,2780,18087000
2020-09-17,2810,2810,2680,2700,15082700
2020-09-18,2720,2750,2700,2740,11516000
2020-09-21,2740,2820,2640,2660,16896600
2020-09-22,2600,2630,2540,2590,13249100
2020-09-23,2640,2650,2500,2550,10355000
2020-09-24,2510,2550,2450,2510,16934200
2020-09-25,2520,2630,2520,2610,14480600
2020-09-28,2640,2650,2590,2600,9635700
2020-09-29,2590,2630,2530,2530,14422200
2020-09-30,2510,2570,2480,2550,14864900
2020-10-01,2570,2620,2550,2610,11878200
2020-10-02,2620,2620,2530,2570,11456000
2020-10-05,2600,2610,2550,2610,11643200
2020-10-06,2650,2690,2650,2660,14193100
2020-10-07,2670,2680,2600,2600,11719600
2020-10-08,2640,2640,2600,2610,10256800
2020-10-09,2610,2640,2600,2620,11797600
2020-10-12,2620,2670,2620,2640,14094400
2020-10-13,2650,2660,2610,2650,13428900
2020-10-14,2650,2730,2650,2710,15966900
2020-10-15,2730,2740,2670,2680,16156700
2020-10-16,2680,2710,2650,2680,12491200
2020-10-19,2680,2740,2670,2680,12890000
